                 , Pokedex, Living, Shiny, 100%, Lucky, XXL, XXS, Mega, Dynamax, Gigantamax, Shadow, Purified,  ,   ,     , 
Missing:         , 1192   , 1192  , 1001 , 950 , 950  , 950, 950, 52  , 154    , 28        , 502   , 507     , 2, 99, 1149,   
KANTO            ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
1 Bulbasaur      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,  1
2 Ivysaur        ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,  2
3 Venusaur       ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         , -, 12,     ,  3
4 Charmander     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,  4
5 Charmeleon     ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,  5
6 Charizard      ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         , -, 12,     ,  6
7 Squirtle       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,  7
8 Wartortle      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     ,  8
9 Blastoise      ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         , -, 12,     ,  9
10 Caterpie      ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     , 10
11 Metapod       ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 10,     , 11
12 Butterfree    ,        ,       ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         , -, 12,     ,   
13 Weedle        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
14 Kakuna        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
15 Beedrill      ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 10,     ,   
16 Pidgey        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
17 Pidgeotto     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
18 Pidgeot       ,        ,       ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -,  9,     ,   
19 Rattata       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
20 Raticate      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
21 Spearow       ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
22 Fearow        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
23 Ekans         ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
24 Arbok         ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
25 Pikachu       ,        ,       ,      ,     ,      ,    ,    , -   ,        ,           , -     , -       , -,  9,     ,   
26 Raichu        ,        ,       ,      ,     ,      ,    ,    , -   ,        , -         , -     , -       , -,  8,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
27 Sandshrew     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
28 Sandslash     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
29 Nidoran (F)   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
30 Nidorina      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
31 Nidoqueen     ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
32 Nidoran (M)   ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
33 Nidorino      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
34 Nidoking      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
35 Clefairy      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
36 Clefable      ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         , -     , -       , -,  7,     ,   
37 Vulpix        ,        ,       ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -,  9,     ,   
Alolan           ,        ,       ,      , -   , -    , -  , -  , -   , -      , -         , -     , -       , -,  3,     ,   
