Pokemon          , Pokedex,     , Living,     , Shiny, 100%, Lucky, XXL, XXS, Mega, Dynamax, Gigantamax, Shadow, Purified,  ,   ,     , 
                 , ♀      , ♂   , ♀     , ♂   ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  ,   ,     ,   
Missing:         , 1189   , 1008, 1189  , 1008, 1001 , 950 , 950  , 949, 950, 52  , 154    , 28        , 502   , 507     , 2, 99, 1149,   
KANTO            ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         ,  , 99,     ,   
1 Bulbasaur      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,  1
2 Ivysaur        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,  2
3 Venusaur       ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         , -, 14,     ,  3
4 Charmander     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,  4
5 Charmeleon     ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,  5
6 Charizard      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         , -, 14,     ,  6
7 Squirtle       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,  7
8 Wartortle      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     ,  8
9 Blastoise      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         , -, 14,     ,  9
10 Caterpie      ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     , 10
11 Metapod       ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   ,        , -         ,       ,         , -, 12,     , 11
12 Butterfree    ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     ,        ,           ,       ,         , -, 14,     , 12
13 Weedle        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     , 13
14 Kakuna        ,        ,     ,       ,     ,      ,     ,      ,    ,    , -   , -      , -         ,       ,         , -, 11,     ,   
15 Beedrill      ,        ,     ,       ,     ,      ,     ,      ,    ,    ,     , -      , -         ,       ,         , -, 12,     ,   
